,clstr_id,samp_id,tsa_no,mgmt_unit,species_class,meas_dt,utm_zone,utm_easting,utm_northing,bcalb_x,bcalb_y,elev,baf_pm,baha_L,stemsha_L,wsvha_L,nmvha_L,lead_si,lead_htop,bh_stand_age,tot_stand_age
94,0403-0038-DO1,0403_0038_VRI,40,TSA40_FortSt.John,Poplar,2008-10-06,10,545399,6402934,1223653.735,1425817.966,586,12,74.4,2180.654683,709.8194198,566.7073942,23.07563477,27.4,87.8,92.35056473
95,0403-0038-DO1,0403_0038_VRI,40,TSA40_FortSt.John,Poplar,2008-10-06,10,545399,6402934,1223653.735,1425817.966,586,12,69.6,1615.361297,685.1615482,561.9199363,23.07563477,27.4,87.8,92.35056473
96,0403-0038-DO1,0403_0038_VRI,40,TSA40_FortSt.John,Poplar,2008-10-06,10,545399,6402934,1223653.735,1425817.966,586,12,57.6,917.1721912,604.6101581,511.1632819,23.07563477,27.4,87.8,92.35056473
97,0403-0040-DO1,0403_0040_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,540288,6421930,1217752.453,1444606.607,947,12.25,39.2,1156.22458,285.6620696,230.4120066,18.34453352,17.7,86.40257574,96.10453251
98,0403-0040-DO1,0403_0040_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,540288,6421930,1217752.453,1444606.607,947,12.25,39.2,1156.22458,285.6620696,230.4120066,18.34453352,17.7,86.40257574,96.10453251
99,0403-0040-DO1,0403_0040_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,540288,6421930,1217752.453,1444606.607,947,12.25,34.3,550.0068531,268.5233677,228.1777976,18.34453352,17.7,86.40257574,96.10453251
100,0403-0040-DO1,0403_0040_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,540288,6421930,1217752.453,1444606.607,947,12.25,31.85,429.6628487,256.9923013,219.8651908,18.34453352,17.7,86.40257574,96.10453251
101,0403-0041-DO1,0403_0041_VRI,40,TSA40_FortSt.John,Pine,2008-09-20,10,574661,6384900,1253624.575,1408994.152,822,9,32.4,750.3434622,319.6108067,272.8524743,14.93783199,23.4,110.2,116.6483067
102,0403-0041-DO1,0403_0041_VRI,40,TSA40_FortSt.John,Pine,2008-09-20,10,574661,6384900,1253624.575,1408994.152,822,9,32.4,750.3434622,319.6108067,272.8524743,14.93783199,23.4,110.2,116.6483067
103,0403-0041-DO1,0403_0041_VRI,40,TSA40_FortSt.John,Pine,2008-09-20,10,574661,6384900,1253624.575,1408994.152,822,9,32.4,750.3434622,319.6108067,272.8524743,14.93783199,23.4,110.2,116.6483067
104,0403-0041-DO1,0403_0041_VRI,40,TSA40_FortSt.John,Pine,2008-09-20,10,574661,6384900,1253624.575,1408994.152,822,9,30.6,610.4611856,303.7227954,263.7151256,14.93783199,23.4,110.2,116.6483067
105,0403-0042-DO1,0403_0042_VRI,40,TSA40_FortSt.John,Poplar,2008-09-23,10,610500,6401912,1288699.821,1427495.186,749,9,50.4,779.5969257,485.1661487,398.2237375,21.46466797,29.12,98.76232367,101.9023652
106,0403-0042-DO1,0403_0042_VRI,40,TSA40_FortSt.John,Poplar,2008-09-23,10,610500,6401912,1288699.821,1427495.186,749,9,50.4,779.5969257,485.1661487,398.2237375,21.46466797,29.12,98.76232367,101.9023652
107,0403-0042-DO1,0403_0042_VRI,40,TSA40_FortSt.John,Poplar,2008-09-23,10,610500,6401912,1288699.821,1427495.186,749,9,48.6,575.6247631,478.6934406,397.4225264,21.46466797,29.12,98.76232367,101.9023652
108,0403-0042-DO1,0403_0042_VRI,40,TSA40_FortSt.John,Poplar,2008-09-23,10,610500,6401912,1288699.821,1427495.186,749,9,48.6,575.6247631,478.6934406,397.4225264,21.46466797,29.12,98.76232367,101.9023652
109,0403-0043-DO1,0403_0043_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,674068,6408978,1351875.16,1437152.424,779,9,16.2,734.4901206,125.6666055,90.25018955,19.70582275,22.25,74.5,77.83381363
110,0403-0043-DO1,0403_0043_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,674068,6408978,1351875.16,1437152.424,779,9,16.2,734.4901206,125.6666055,90.25018955,19.70582275,22.25,74.5,77.83381363
111,0403-0043-DO1,0403_0043_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,674068,6408978,1351875.16,1437152.424,779,9,14.4,376.3914925,118.883896,90.25018955,19.70582275,22.25,74.5,77.83381363
112,0403-0043-DO1,0403_0043_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,674068,6408978,1351875.16,1437152.424,779,9,10.8,102.7646597,100.0424087,82.1863583,19.70582275,22.25,74.5,77.83381363
113,0403-0045-DO1,0403_0045_VRI,40,TSA40_FortSt.John,Poplar,2008-09-14,10,609813,6419050,1287306.735,1444609.79,1220,12.25,24.5,320.0723958,283.6633157,239.0224268,22.42979736,27.025,73.75,76.80711106
114,0403-0045-DO1,0403_0045_VRI,40,TSA40_FortSt.John,Poplar,2008-09-14,10,609813,6419050,1287306.735,1444609.79,1220,12.25,24.5,320.0723958,283.6633157,239.0224268,22.42979736,27.025,73.75,76.80711106
115,0403-0045-DO1,0403_0045_VRI,40,TSA40_FortSt.John,Poplar,2008-09-14,10,609813,6419050,1287306.735,1444609.79,1220,12.25,24.5,320.0723958,283.6633157,239.0224268,22.42979736,27.025,73.75,76.80711106
116,0403-0045-DO1,0403_0045_VRI,40,TSA40_FortSt.John,Poplar,2008-09-14,10,609813,6419050,1287306.735,1444609.79,1220,12.25,24.5,320.0723958,283.6633157,239.0224268,22.42979736,27.025,73.75,76.80711106
117,0403-0046-DO1,0403_0046_VRI,40,TSA40_FortSt.John,Other,2008-09-21,10,623836,6409657,1301696.126,1435789.669,597,5,4,50.73955091,28.01868685,22.39613209,11.33330078,16.2,90,94.82845264
118,0403-0046-DO1,0403_0046_VRI,40,TSA40_FortSt.John,Other,2008-09-21,10,623836,6409657,1301696.126,1435789.669,597,5,4,50.73955091,28.01868685,22.39613209,11.33330078,16.2,90,94.82845264
119,0403-0046-DO1,0403_0046_VRI,40,TSA40_FortSt.John,Other,2008-09-21,10,623836,6409657,1301696.126,1435789.669,597,5,4,50.73955091,28.01868685,22.39613209,11.33330078,16.2,90,94.82845264
120,0403-0046-DO1,0403_0046_VRI,40,TSA40_FortSt.John,Other,2008-09-21,10,623836,6409657,1301696.126,1435789.669,597,5,4,50.73955091,28.01868685,22.39613209,11.33330078,16.2,90,94.82845264
121,0403-0048-DO1,0403_0048_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,638114,6423283,1315394.331,1450001.096,595,9,41.4,906.3120851,463.4292294,374.3381741,23.9043457,30.475,85.80794023,88.75437101
122,0403-0048-DO1,0403_0048_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,638114,6423283,1315394.331,1450001.096,595,9,41.4,906.3120851,463.4292294,374.3381741,23.9043457,30.475,85.80794023,88.75437101
123,0403-0048-DO1,0403_0048_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,638114,6423283,1315394.331,1450001.096,595,9,41.4,906.3120851,463.4292294,374.3381741,23.9043457,30.475,85.80794023,88.75437101
124,0403-0048-DO1,0403_0048_VRI,40,TSA40_FortSt.John,Poplar,2008-09-21,10,638114,6423283,1315394.331,1450001.096,595,9,37.8,689.9057347,440.4897574,360.678017,23.9043457,30.475,85.80794023,88.75437101
