PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59331652,British Columbia,382,1,-0.825,2,-0.521,3,-0.107,2,-0.668
59331654,British Columbia,401,1,-0.881,5,0.353,5,0.731,2,-0.701
59331655,British Columbia,1323,2,-0.659,1,-0.913,2,-0.626,2,-0.524
59331656,British Columbia,413,1,-0.885,1,-0.995,1,-1.442,1,-0.855
59331657,British Columbia,1507,3,-0.497,1,-0.910,1,-1.450,3,-0.365
59331659,British Columbia,1667,2,-0.656,1,-0.744,4,0.272,4,0.341
59331660,British Columbia,150,1,-0.952,3,-0.234,3,-0.269,2,-0.496
59331661,British Columbia,342,1,-1.083,5,0.964,4,0.496,2,-0.702
59331662,British Columbia,357,2,-0.729,3,-0.177,5,0.687,1,-0.947
59331664,British Columbia,432,1,-0.814,5,0.588,4,0.479,3,-0.436
59331665,British Columbia,329,2,-0.571,4,-0.077,5,1.054,2,-0.491
59331666,British Columbia,95,1,-1.057,5,2.694,4,0.419,1,-1.049
59331667,British Columbia,142,1,-1.061,5,2.452,2,-0.648,2,-0.643
59331671,British Columbia,202,1,-0.971,4,0.224,3,0.043,2,-0.578
59350022,British Columbia,661,1,-0.849,2,-0.604,3,-0.296,1,-0.871
59350023,British Columbia,1388,1,-0.782,1,-0.747,1,-1.068,2,-0.590
59350024,British Columbia,455,1,-0.793,2,-0.540,1,-1.410,1,-0.786
59350025,British Columbia,387,3,-0.560,1,-0.920,1,-1.205,1,-0.903
59350026,British Columbia,812,2,-0.675,1,-0.801,1,-0.778,1,-0.806
59350027,British Columbia,484,3,-0.387,1,-1.031,1,-1.404,2,-0.526
59350028,British Columbia,290,1,-0.849,2,-0.580,1,-0.909,2,-0.679
59350029,British Columbia,1355,2,-0.589,2,-0.565,4,0.255,4,0.358
59350030,British Columbia,806,3,-0.502,2,-0.546,1,-1.352,4,0.021
59350031,British Columbia,790,2,-0.580,4,0.024,1,-1.160,4,0.612
59350032,British Columbia,1688,2,-0.650,1,-0.785,4,0.049,1,-0.835
59350034,British Columbia,355,1,-0.984,1,-0.871,5,3.099,4,0.018
59350035,British Columbia,1343,3,-0.420,2,-0.489,3,-0.282,3,-0.210
59350037,British Columbia,927,2,-0.693,1,-0.732,3,-0.128,1,-0.840
59350038,British Columbia,359,3,-0.338,1,-0.829,4,0.337,1,-0.940
59350039,British Columbia,594,2,-0.764,2,-0.415,1,-0.764,3,-0.366
59350040,British Columbia,490,2,-0.720,2,-0.380,4,0.181,1,-0.872
59350041,British Columbia,558,3,-0.542,2,-0.519,3,-0.337,4,0.167
59350042,British Columbia,819,1,-0.815,2,-0.609,1,-1.129,5,1.034
59350043,British Columbia,670,2,-0.691,2,-0.430,1,-1.112,4,-0.010
59350044,British Columbia,524,2,-0.661,4,0.081,2,-0.450,5,0.873
59350045,British Columbia,503,3,-0.380,2,-0.434,2,-0.648,5,0.917
59350046,British Columbia,344,2,-0.728,4,-0.077,3,-0.287,5,1.616
59350047,British Columbia,663,2,-0.649,4,0.050,2,-0.719,5,2.236
59350048,British Columbia,194,1,-0.802,3,-0.209,1,-1.158,5,1.046
59350049,British Columbia,609,2,-0.577,4,0.240,3,0.005,5,1.891
59350050,British Columbia,640,3,-0.543,4,0.038,5,1.445,5,2.754
59350051,British Columbia,774,2,-0.663,1,-0.622,4,0.376,5,0.791
59350052,British Columbia,975,2,-0.661,3,-0.307,5,1.692,5,1.209
59350053,British Columbia,441,1,-0.854,2,-0.517,5,3.305,3,-0.445
59350054,British Columbia,554,2,-0.736,2,-0.383,1,-1.395,5,0.789
59350055,British Columbia,880,2,-0.675,4,0.087,1,-0.800,4,0.697
59350056,British Columbia,495,2,-0.571,3,-0.186,1,-1.288,5,0.895
59350057,British Columbia,653,2,-0.577,2,-0.417,2,-0.359,5,0.903
59350058,British Columbia,320,1,-0.962,1,-1.097,4,0.190,3,-0.196
59350059,British Columbia,363,3,-0.562,5,0.756,1,-1.166,5,2.960
